,doc_id,sent_id,sent_text,KILL,ARREST,ANY_ACTION,FAIL,FORCE
0,11,0,"This story is from March 10, 2002

",0,0,0,0,0
1,11,1,lucknow:,0,0,0,0,0
2,11,2,the all-india babri masjid action committee (aibmac) has sought a ban on vhp-sponsored march 15 programme at the acquired land in ayodhya.,0,0,0,0,0
3,11,3,"holding a state-level meeting on saturday, aibmac convenor jafrayab jilani said that the proposed â€˜bhoomi",0,0,0,0,0
4,11,4,pujanâ€,0,0,0,0,0
5,11,5,"™, even if it was symbolic, would be in violation of the supreme court status quo order.",0,0,0,0,0
6,11,6,"â€œwe demand a ban on the vhp programme as it is in clear violation of the supreme court order,â€�",0,0,0,0,0
7,11,7,he said.,0,0,0,0,0
8,11,8,"about 60 members from aibmac district units, including mathura and varanasi, participated in the lucknow meeting.",0,0,0,0,0
9,11,9,the vhp-sponsored â€˜bhoomi,0,0,0,0,0
10,11,10,pujanâ€,0,0,0,0,0
11,11,11,™ on march 15 in ayodhya and the proposed transfer of land to the ram janambhoomi nyas by the centre were on the agenda for discussion.,0,0,0,0,0
12,11,12,"the meeting also discussed a demand for permission to muslims to â€œoffer namaz and re-building babri mosqueâ€� since the same concessions were proposed to be given to the majority community members.â€œbut the demand was dropped as it too was in violation of the supreme court order,â€� said the aibmac convenor.",0,0,0,0,0
13,11,13,the aibmac will hold statewide demonstration if the vajpayee government gave permission for the march 15 programme and transferred acquired land to begin the temple construction.,0,0,0,0,0
14,11,14,"â€œif permission was granted then we will be left with no alternative than to move the supreme court seeking a ban on their programmes,â€� warned jilani charging the central government with not fulfilling its constitutional duties.",0,0,0,0,0
15,11,15,the aibmac is awaiting the outcome of the all-india muslim personal law board meeting in delhi tomorrow before initiating any legal proceedings.,0,0,0,0,0
16,11,16,it will meet again on march 14 to decide their future course of action on both the contentious issues.,0,0,0,0,0
17,12,0,"This story is from March 10, 2002

new delhi: the bjp-led central government has begun exploring the possibility of permitting â€˜bhoomi",0,0,0,0,0
18,12,1,"pujaâ€™ at ayodhya, after the kanchipuram shankaracharya on thursday night promised a high-level meeting chaired by the prime minister that, if allowed, he would ensure the ceremony would be â€˜â€˜symbolic, without building materials, carved pillars or concentration of karswewaksâ€™â€™.",0,0,0,0,0
19,12,2,"the shankaracharya has already conveyed this to the all-india muslim personal law board, and said that the question of handing over the so-called undisputed land will be dealt with after march 15, but their response is forthcoming.",0,0,0,0,0
20,12,3,"government sources said besides ensuring the security situation in ayodhya was conducive, muslim approval was essential to â€˜â€˜sellâ€™â€™ the â€˜pujaâ€™ to the bjpâ€™s allies and the opposition.",0,0,0,0,0
21,12,4,"meanwhile, vhp cadres have not taken kindly to ashok singhalâ€™s promise in his capacity as managing trustee of the ramjanmabhomi nyas that the court verdict in the ayodhya case would be obeyed.",0,0,0,0,0
22,12,5,"the promise may have made it possible for the government to consider allowing the â€˜pujaâ€™, but vhp cadres see it as a sell-out.",0,0,0,0,0
23,12,6,"and so on friday, vhpâ€™s international president vh dalmia took two steps back: he said the vhp would obey the court verdict, but if it went against the rjn, the â€˜dharmacharyasâ€™ would decide the next step.",0,0,0,0,0
24,12,7,"asked if he was not contradicting singhalâ€™s statement on thursday that if the verdict went in favour of the muslims, the garbha griha (sanctum sanctorum)",0,0,0,0,0
25,12,8,"location would be changed, he evaded a direct reply, only repeating that he was certain the verdict would be favourable to the rjn.",0,0,0,0,0
26,12,9,much spadework behind the scenes is understood to have been done by spiritual leader sri sri ravi shankar.,0,0,0,0,0
27,12,10,the guru reportedly held extensive discussions with vhp leader ashok singhal and persuaded him to give the clearest possible written commitment that his organisation will abide by the court verdict.,0,0,0,0,0
28,12,11,sri sri ravi shankar is also said to be holding parleys with a cross section of muslim leaders to find a durable settlement to the ayodhya crisis.,0,0,0,0,0
29,12,12,"while dalmia began the â€˜â€˜damage controlâ€™â€™ process, vhp joint general secretary onkar bhave said the â€˜bhoomi",0,0,0,0,0
30,12,13,pujanâ€,0,0,0,0,0
31,12,14,"™ would be incomplete without shifting building materials, carved pillars and at least 2,000 karsewaks.",0,0,0,0,0
32,12,15,"â€˜â€˜we are still bargaining with the government on this,â€™â€™ he said and added that the vhp still wanted an assurance on the handing over of the acquired land before march 15.",0,0,0,0,0
33,12,16,"simultaneously, 14 bjp mps from up held out a veiled threat of confrontation with the government.",0,0,0,0,0
34,12,17,"in a letter to the pm on thursday, they said the â€˜â€˜anger among people is increasing, and soon it would be manifested against governmentâ€™s hitler-like tactics on streets.â€� minister hints at lifting of curbs.",0,0,0,0,0
35,13,0,"This story is from March 12, 2002

",0,0,0,0,0
36,13,1,gandhinagar:,0,0,0,0,0
37,13,2,gujarat legislative assembly would meet again on wednesday after a gap of 11 days following the godhra carnage and subsequent large scale violence in the state.,0,0,0,0,0
